"date","time","text","download_time"
"2023/09/29（五）","11:35:00","中秋月圓人團圓，團圓與相聚是中秋節的重要內涵，因此中秋佳節無論你計畫烤肉、煮火鍋還是火烤兩吃，都請一定要揪上身邊重要的人一起！
我今天一早看到高鐵、台鐵人潮仍洶湧，在外工作的朋友們已經回到家與家人團聚了嗎？如果因故無法在假期間與家人相伴，也別忘了相互問候，沒辦法相聚，但心仍繫在一起！
在此祝福全體國人，中秋佳節慶團圓，佳節愉快！","2023/10/12 14:44"
"2023/09/29（五）","11:35:00","祝福全體國人，中秋佳節慶團圓，佳節愉快！","2023/10/12 14:44"
"2023/09/30（六）","15:07:00","把不可能變可能，別人做不到的事，敢做才做得到，更要做得好，侯友宜來改變！
行動力，是施政的關鍵，無論是重獲新生的塭仔圳重劃區，還是被翻轉的城市毒瘤五股垃圾山，都是我魄力改革、解決民怨的例證！
我，侯友宜，為了國家人民，做對的事、走對的路，「啥咪攏不驚！」不僅重手掃除都市亂源，更要大力整頓國家，把不可能變可能，別人做不到的事，侯友宜來改變！","2023/10/12 14:44"
"2023/09/30（六）","15:07:00","把不可能變可能，別人做不到的事，敢做才做得到，更要做得好，侯友宜來改變！","2023/10/12 14:44"
"2023/10/01（日）","18:27:00","參與由台中浩天宮所舉辦的北港徒步進香起馬宴，我除了在媽祖面前祈求台灣不要戰爭、希望兩岸能夠和平相待，我也向在場的信眾們保證，絕對會實踐媽祖的精神，愛台灣這塊土地，帶領台灣走向更好的未來！","2023/10/12 14:44"
"2023/10/01（日）","18:27:00","[影片]","2023/10/12 14:44"
"2023/10/02（一）","12:45:00","我們的國家是，中華民國！我們的國旗是，青天白日滿地紅！
從前年起，蔡英文政府將雙十國慶日的英文名稱，改成「Taiwan National Day」，意圖以迂迴手法替換國名，消滅中華民國，馬英九前總統今日悍然宣布拒絕參與「臺灣國慶日」。
作為中華民國國民「我們的國家是，中華民國」、「我們的國旗是，青天白日滿地紅」這本應該是最基本、也最理所應當的國民常識，但現任政府過去7年，讓這基本的國民常識，不僅混淆，甚至動搖，不僅不能講，甚至不敢講，賴清德偶一為之的中華民國，永遠都有但書，永遠不改其個人主張臺獨的政治本質！
守護國家，我們必須有行動力，今年10月10號，請大家一起來慶祝中華民國國慶、一起升起青天白日滿地紅的中華民國國旗！國慶日當天上午，我們將在臺灣本島及連江縣等15個縣市，同步向中華民國致敬，歡迎大家一起來，一起大聲唱國歌，一起祝中華民國生日快樂！
⬇️⬇️⬇️點擊以下圖片觀看全文","2023/10/12 14:44"
"2023/10/02（一）","12:45:00","我們的國家是，中華民國！我們的國旗是，青天白日滿地紅！","2023/10/12 14:44"
"2023/10/04（三）","17:09:00","今年是繼2015年臺南爆發嚴重登革熱疫情後，最嚴重的年份，且案例快速增加中，截至前天為止全國累計13,036例本土病例，其中重症68例、死亡20例，以縣市來看臺南市11,770例，其餘縣市亦出現數十或數百例。
重複感染不同型別登革熱病毒，可能導致嚴重出血或嚴重器官損傷等重症，未即時就醫死亡率可達20%。此時正值颱風過境，颱風後可能在許多隱蔽處出現積水情形，若未及時清除，極有可能創下2015登革熱大流行後又一高峰，若出現重複感染情形，對人民生命安全造成威脅，不可不慎。
我認為政府的存在是為保障人民生命財產安全，如果不能維護這條底線，說再多都是徒然。雖然疾管署已在臺南成立「登革熱前進應變工作隊」，但以目前臺南市的案例數來看，顯然已遠遠超過地方政府及應變工作隊可以應對與負荷的範圍，我認為中央政府應該更積極協調防疫與公衛人員介入，並投入更多資源，以挽救寶貴生命。
今年因登革熱死亡案例累積已有20例，每一個案例背後都是一個又一個的缺角家庭，對我來說政府應負起責任，避免悲劇，做好萬全準備，才能真正防患於未然，請民進黨政府扛起執政者的責任，記取新冠疫情教訓，落實超前部署，才能守護人民生命安全。","2023/10/12 14:44"
"2023/10/04（三）","17:09:00","登革熱死亡案例快速增加！中央政府別讓臺南人獨自承受！","2023/10/12 14:44"
