"Page Name","UserName","Facebook Id","Page Category","Page Admin Top Country","Page Description","Page Created","Likes at Posting","Followers at Posting","Post Created","Post Created Date","Post Created Time","Type","Total Interactions","Likes","Comments","Shares","Love","Wow","Haha","Sad","Angry","Care","Video Share Status","Is Video Owner?","Post Views","Total Views","Total Views For All Crossposts","Video Length","URL","Message","Link","Final Link","Image Text","Link Text","Description","Sponsor Id","Sponsor Name","Sponsor Category","Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )"
"郭台銘","TerryGou1018","100044631150325","PERSON","TW","台灣人民希望改變，改變帶給人民希望🇹🇼
主流民意大聯盟，將全力提出最好的國家政策
將畢生才能，奉獻給最摯愛的中華民國，鞠躬盡瘁，死而後已！","2019-01-29 04:57:03","N/A","16432","2019-01-31 11:14:59","2019-01-31","11:14:59","Photo","5639","5109","325","67","102","12","24","0","0","0",NA,"-","0","0","0","N/A","https://www.facebook.com/573474646459145/posts/574484886358121","01-31 2019 今日開始，由永齡基金會協助開啓我的臉書專頁，長久以來許多朋友反應，網路上流傳眾多以郭台銘名義開啓的臉書帳號，充斥許多似真似假的故事，言論；社群年代真假難辨成了大家的共同焦慮。我想在個人事業與志業的平衡點上，選擇以志業及人生信仰做為我臉書的基礎，我會把我認為應該廣為人知，推己及人的內容分享給志同道合的朋友們，我不一定是最成功的人，但我相信我是在事業及志業上都盡最大的努力，𡚒鬥不懈的人，新的一年，與朋友共勉。",NA,NA,NA,NA,NA,NA,NA,NA,"-5.58"
"郭台銘","TerryGou1018","100044631150325","PERSON","TW","台灣人民希望改變，改變帶給人民希望🇹🇼
主流民意大聯盟，將全力提出最好的國家政策
將畢生才能，奉獻給最摯愛的中華民國，鞠躬盡瘁，死而後已！","2019-01-29 04:57:03","N/A","16432","2019-01-31 12:05:02","2019-01-31","12:05:02","Photo","16742","11641","3212","1347","444","13","80","0","5","0",NA,"-","0","0","0","N/A","https://www.facebook.com/573474646459145/posts/574492293024047","01-31 2019 本周六是鴻海集團尾牙愛心嘉年華會，每一次我最重視唱國歌，張菲每年主持，他上次說要他早起唱國歌，就只有在鴻海尾牙。想到在SHARP 開記者會宣佈合作時，兩面國旗高高掛起，同仁跑來我身旁支支吾吾，原來是擔心掛國旗是不是會有後遺症，勸我要不要保守一點，但這是什麼道理呢？ 我以唱國歌，掛國旗為榮 今年我讓集團總務用同仁票選的款式製作了幾款的國旗帽給園遊會參與的員工，除了有鴻海字樣，也製作一些沒有字樣的款式，送給來南港展覽館參觀我們嘉年華會一般民眾朋友，鴻海尾牙的園遊會邀請了上百個慈善團體來擺攤，今年也邀請地方農業縣市來推廣農產品，除了鴻海同仁做公益，民眾也可以參與，歡迎大家一起來。 #郭董愛國旗 -------------------------- 小編說：「我唱國歌，我驕傲」-- 郭董，郭董，有沒有禮物呢 小編幫郭粉們求福利 慶祝郭董粉絲團開張，為了衝人氣，在下方幫小編tag 一位愛國旗的朋友，寫下 ""一起愛國旗""，就來抽 10名 送郭董簽名國旗帽","https://www.facebook.com/TerryGou1018/photos/a.574503819689561/574502746356335/?type=3",NA,NA,"Photos from 郭台銘's post",NA,NA,NA,NA,"-1.88"
"郭台銘","TerryGou1018","100044631150325","PERSON","TW","台灣人民希望改變，改變帶給人民希望🇹🇼
主流民意大聯盟，將全力提出最好的國家政策
將畢生才能，奉獻給最摯愛的中華民國，鞠躬盡瘁，死而後已！","2019-01-29 04:57:03","N/A","19831","2019-02-01 09:43:27","2019-02-01","09:43:27","Photo","1692","1637","34","2","17","2","0","0","0","0",NA,"-","0","0","0","N/A","https://www.facebook.com/573474646459145/posts/575074812965795",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-18.6"
"郭台銘","TerryGou1018","100044631150325","PERSON","TW","台灣人民希望改變，改變帶給人民希望🇹🇼
主流民意大聯盟，將全力提出最好的國家政策
將畢生才能，奉獻給最摯愛的中華民國，鞠躬盡瘁，死而後已！","2019-01-29 04:57:03","N/A","19831","2019-02-01 13:41:01","2019-02-01","13:41:01","Photo","2039","1814","87","30","19","18","71","0","0","0",NA,"-","0","0","0","N/A","https://www.facebook.com/573474646459145/posts/575163842956892","02-01 2019 小編預告，郭董要來了😀😀😀 他說要演講，小編有提醒他不能太無聊，不然會掉粉（你們覺得小編有這個膽子嗎😳） 👍今天下午2點，鴻海科技獎學生要來接受鴻海舞台大考驗，郭董說要宣佈大事，敬請期待（可能是要幫小編加薪，嘿嘿）","https://www.facebook.com/TerryGou1018/photos/a.574503819689561/575163759623567/?type=3",NA,NA,NA,NA,NA,NA,NA,"-15.44"
"郭台銘","TerryGou1018","100044631150325","PERSON","TW","台灣人民希望改變，改變帶給人民希望🇹🇼
主流民意大聯盟，將全力提出最好的國家政策
將畢生才能，奉獻給最摯愛的中華民國，鞠躬盡瘁，死而後已！","2019-01-29 04:57:03","N/A","19831","2019-02-01 13:58:13","2019-02-01","13:58:13","Live Video Complete","4656","3487","484","484","161","8","23","3","6","0","owned","Yes","34052","82243","0","01:46:56","https://www.facebook.com/573474646459145/posts/2209537249263617","02-01 2019 今天是鴻海科技集團年度大會，特別安排在議程中，邀請2018鴻海科技獎得主來到鴻海進行「與青年對話」，激勵同仁創新科技研究與發展青年人才，鼓勵懷抱熱情，迎向嶄新的一年。歡迎大家一起加入直播觀賞，也為這些優秀的研究者加油打氣。","https://www.facebook.com/TerryGou1018/videos/2209537249263617/",NA,NA,"鴻海科技集團年度內部大會-2018鴻海科技獎得主「與青年對話」",NA,NA,NA,NA,"-2.51"
"郭台銘","TerryGou1018","100044631150325","PERSON","TW","台灣人民希望改變，改變帶給人民希望🇹🇼
主流民意大聯盟，將全力提出最好的國家政策
將畢生才能，奉獻給最摯愛的中華民國，鞠躬盡瘁，死而後已！","2019-01-29 04:57:03","N/A","19831","2019-02-01 23:57:44","2019-02-01","23:57:44","Photo","2543","2311","58","30","34","3","107","0","0","0",NA,"-","0","0","0","N/A","https://www.facebook.com/573474646459145/posts/575398089600134","02-01 2019 小編今天謝謝粉絲們參與滿滿的郭董大平台，關於粉絲詢問下午為何小編消失了，這麼難的內容也沒來編譯一下，是不是被炒了？成為史上壽命最短小編，想不到才一天，大家就對我有感情，小編真的是感激涕零 因為郭董發了小編一本「人工智慧導讀」，說如果小編學不會就要降級 變小小編後從此燒茶倒水，不能再見天日，小編只好躲在角落K書，希望有朝一日可以分享Ai 是什麼？ 🤣AI 到底是什麼啊？小編高度懷疑，原本應該是「郭董開講」的工作，他想推給小編？郭董你別忘了，這裹是你和小編要一起努力的，你怎麼可以，怎麼可以😞😞😞 小編與郭董的心結 -- 就讓小編出賣郭董表情包，結束今天的談話（小編也不是好惹的）但明天早上小編還在想要爆什麼料？對了，明天尾牙園遊會，大家想不想提前知道今年的對聯是什麼，據說現在還沒出爐（郭董，郭董，你還在想哦），請持續追踨小編？不是啦，是追踨郭董 #FoxconnAi #鴻海獎學鯨科技獎 #邀請教授們編纂教科書捐捐捐 #郭董說張智星教授比他帥耶小編不敢說","https://www.facebook.com/TerryGou1018/photos/a.574503819689561/575428522930424/?type=3",NA,NA,"Photos from 郭台銘's post",NA,NA,NA,NA,"-12.38"
"郭台銘","TerryGou1018","100044631150325","PERSON","TW","台灣人民希望改變，改變帶給人民希望🇹🇼
主流民意大聯盟，將全力提出最好的國家政策
將畢生才能，奉獻給最摯愛的中華民國，鞠躬盡瘁，死而後已！","2019-01-29 04:57:03","N/A","20715","2019-02-02 09:01:22","2019-02-02","09:01:22","Photo","3190","2760","123","229","62","4","12","0","0","0",NA,"-","0","0","0","N/A","https://www.facebook.com/573474646459145/posts/575641026242507","02-02 2019 早安，今天集團在南港展覽館舉辦鴻海尾牙嘉年華會，園遊會攤位開放讓ㄧ般民眾也可以參加，今年舞台對聯怎麼寫，昨晚我花了一些時間思考，今天尾牙我再來說說我的想法。我們9:30唱國歌！","https://www.facebook.com/TerryGou1018/photos/a.574503816356228/575640936242516/?type=3",NA,NA,"Photos from 郭台銘's post",NA,NA,NA,NA,"-9.87"
"郭台銘","TerryGou1018","100044631150325","PERSON","TW","台灣人民希望改變，改變帶給人民希望🇹🇼
主流民意大聯盟，將全力提出最好的國家政策
將畢生才能，奉獻給最摯愛的中華民國，鞠躬盡瘁，死而後已！","2019-01-29 04:57:03","N/A","20715","2019-02-02 21:45:40","2019-02-02","21:45:40","Photo","3379","3117","132","74","46","4","5","0","1","0",NA,"-","0","0","0","N/A","https://www.facebook.com/573474646459145/posts/575921439547799","02-02 2019 展望 很多人問我對2019的看法，昨晚，我想了要說的內容，公開草稿，面對2019，我們要加強對科技及人才的投資，就像我今天最後說到的，鴻海集團要開疆闢土，要勇敢挑戰未來，對自己要有信心，大家對集團公司要有信心，對我這個老掌門人要有信心，對社會、對國家、對全球要有信心。 #2019最好的一年 #勇者無懼 #八方好漢更懷鴻滔偉略掌握科技豪情戰未來六兆豐業何懼狂風巨浪足立製造開拓新疆土人工智慧連雲網","https://www.facebook.com/TerryGou1018/photos/a.574503819689561/575926522880624/?type=3",NA,NA,"Photos from 郭台銘's post",NA,NA,NA,NA,"-9.31"
"郭台銘","TerryGou1018","100044631150325","PERSON","TW","台灣人民希望改變，改變帶給人民希望🇹🇼
主流民意大聯盟，將全力提出最好的國家政策
將畢生才能，奉獻給最摯愛的中華民國，鞠躬盡瘁，死而後已！","2019-01-29 04:57:03","N/A","20715","2019-02-02 23:10:00","2019-02-02","23:10:00","Photo","2353","2128","113","28","49","24","3","8","0","0",NA,"-","0","0","0","N/A","https://www.facebook.com/573474646459145/posts/575958906210719","02-02 2019 小編公告：關於郭董簽名國旗帽 小編任務最難 @@就是在尾牙當天能由郭董手中拿到承諾給粉絲抽獎的簽名國旗帽，有圖有真相，看看郭董簽名有多認真啊👍 很多人問，郭董簽名國旗帽該怎麼拿啊，其實粉絲頁開張當天""一起愛國旗""Tag 朋友活動，已抽出10位幸運得獎者了（沒抽到小編，小編哭）得獎資訊，在此再公告一次， 恭喜以下得獎者： Newer Wang、Gina Syuan、Chifeng Chuang、郭鈤姍、Ohyaohya Amber、Angela Huang、陳海嵐、Liangyin Yu、徐光輝、朱志祥 請得獎者要快快和小編連絡喔，逾時就要把沒領走的簽名國旗帽再拿來抽一次喔（沒抽中的，請誠心集氣，包括小編，哈哈） 得獎者於2/3號12:00前 私訊小編-收件人姓名、地址、電話唷 國旗帽反應實在是太熱烈了，今天在尾牙現場除了發放給鴻海集團員工及眷屬，也讓前來參觀的民眾領取，全部秒殺，謝謝大家對國旗帽的支持，沒拿到的粉絲朋友，請持續鎖定粉絲頁，小編會繼續幫大家謀福利哦","https://www.facebook.com/TerryGou1018/photos/a.574503819689561/575956916210918/?type=3",NA,NA,"Photos from 郭台銘's post",NA,NA,NA,NA,"-13.38"
"郭台銘","TerryGou1018","100044631150325","PERSON","TW","台灣人民希望改變，改變帶給人民希望🇹🇼
主流民意大聯盟，將全力提出最好的國家政策
將畢生才能，奉獻給最摯愛的中華民國，鞠躬盡瘁，死而後已！","2019-01-29 04:57:03","N/A","21280","2019-02-03 12:00:01","2019-02-03","12:00:01","Photo","7096","6404","224","145","304","3","16","0","0","0",NA,"-","0","0","0","N/A","https://www.facebook.com/573474646459145/posts/575941606212449","02-03 2019 感謝我的母親，感謝我的妻子，也希望大家回家的時候都能向自己的父母表達感謝，百善孝為先，現在很少人說這些「老話」，但「老話」常是最重要的道理。祝大家金豬年諸事大吉。","https://www.facebook.com/TerryGou1018/photos/a.574503819689561/575940706212539/?type=3",NA,NA,NA,NA,NA,NA,NA,"-4.44"
